season,team,cont_off,cont_def,snaps_off,snaps_def
2014,ARI,0.6169070781616907,0.6287706915385262,11924,11901
2014,ATL,0.7282012323795054,0.7190393013100437,11847,11450
2014,BAL,0.6338028169014085,0.7175566069618114,12496,11836
2014,BUF,0.7411322527601597,0.6909394107837687,12771,12593
2014,CAR,0.5906882233412846,0.678052716514255,11319,11154
2014,CHI,0.8956865440797388,0.5471121968242889,11638,11462
2014,CIN,0.8082235785415998,0.8351266627128696,12452,11803
2014,CLE,0.5698668420187407,0.7381234685005138,12166,12651
2014,DAL,0.9097285480051012,0.6536010197578075,10978,12552
2014,DEN,0.7546885591624614,0.562313462934581,13277,12397
2014,DET,0.8434246355918629,0.718199436222692,12486,11352
2014,GB,0.7062064495219575,0.7673773617611371,12342,11538
2014,HOU,0.7102424783067067,0.6593582887700534,12331,11220
2014,IND,0.6648841354723708,0.5864913637535447,11781,11637
2014,JAX,0.578739141653049,0.7898810493726577,11627,12274
2014,KC,0.7066307186789115,0.6696150696150697,11869,12210
2014,LA,0.716508367254636,0.8796312105173297,11055,11714
2014,LAC,0.8051597051597051,0.7690899102728438,12210,10922
2014,LV,0.5528255528255528,0.4758760792280345,11396,11814
2014,MIA,0.651677436487563,0.7787041448308718,11297,12594
2014,MIN,0.8602742118592263,0.56681453809635,11451,12849
2014,NE,0.8560036454773297,0.7395264116575592,13167,12627
2014,NO,0.7315479551504396,0.7732487641078257,12397,10721
2014,NYG,0.493847924227671,0.6434495531041147,11297,12419
2014,NYJ,0.7266672433180521,0.8506022108562944,11561,12122
2014,PHI,0.8064781999505481,0.8829658713379643,12133,13244
2014,PIT,0.7301244382993433,0.763256288239293,11572,11768
2014,SEA,0.7062522457779374,0.7636792041190331,11132,11459
2014,SF,0.789193651958536,0.6420881749829118,10901,11704
2014,TB,0.348982098982099,0.7633070054945055,11396,11648
2014,TEN,0.6925158562367865,0.7760607871595663,11825,11713
2014,WAS,0.8528289891926255,0.7416459296125133,12584,11252
2015,ARI,0.7806828932656747,0.6353871272664776,11627,11637
2015,ATL,0.5915398200319569,0.6715352975740787,11891,11913
2015,BAL,0.8148806500761808,0.7019093279502061,11814,11889
2015,BUF,0.6163996229971724,0.8568198944988696,11671,11943
2015,CAR,0.7733629483382691,0.789175804740007,12156,11308
2015,CHI,0.5710721046291516,0.5775298526976379,11622,11473
2015,CIN,0.8057928913192071,0.8407344495672572,11704,12363
2015,CLE,0.6554614586933979,0.6862883051907442,11572,12792
2015,DAL,0.8862778730703259,0.6483828090385467,11660,11285
2015,DEN,0.4683024939662107,0.7387205387205387,12430,11880
2015,DET,0.6720452466106629,0.7486733362331448,12023,11495
2015,GB,0.8683116883116883,0.7629654255319149,11550,12032
2015,HOU,0.6941031941031941,0.63409915356711,12210,12405
2015,IND,0.7304183705567788,0.6732981575988236,12716,11561
2015,JAX,0.7775927062330148,0.7096016839378239,11407,12352
2015,KC,0.5248713550600344,0.8337471106925777,11077,11681
2015,LA,0.5717918445191172,0.862033105121761,11011,11539
2015,LAC,0.7413308341143393,0.6372319180342103,11737,11517
2015,LV,0.6540697674418605,0.4935096742591232,11352,12249
2015,MIA,0.5744292237442923,0.5737465659340659,12045,11648
2015,MIN,0.6088076001065436,0.9384085370977228,11263,11901
